cluster	gene
cortical neurons 1	PPP2R5B
cortical neurons 1	LRRC7
cortical neurons 1	FEZ1
cortical neurons 1	GDI1
cortical neurons 1	HCFC1R1
cortical neurons 1	PPFIA2
cortical neurons 1	COX7A2
cortical neurons 1	APP
cortical neurons 1	SH3GL2
cortical neurons 1	ACTL6B
cortical neurons 1	PGM2L1
cortical neurons 1	CHGB
cortical neurons 1	KLHL35
cortical neurons 1	NDFIP1
cortical neurons 1	BCL11B
cortical neurons 1	PALMD
cortical neurons 1	CNIH2
cortical neurons 1	KIF1A
cortical neurons 1	MYT1L
cortical neurons 1	RPAIN
cortical neurons 1	PFKM
cortical neurons 1	NHSL1
cortical neurons 1	PHACTR3
cortical neurons 1	LINC00461
cortical neurons 1	CDC42
cortical neurons 1	YWHAG
cortical neurons 1	PCDH8
cortical neurons 1	TUBB
cortical neurons 1	LDOC1
cortical neurons 1	PDGFC
cortical neurons 1	EMX1
cortical neurons 1	CORO2B
cortical neurons 1	NEUROG2
cortical neurons 1	LIMCH1
cortical neurons 1	APBA2
cortical neurons 1	ANKRD12
cortical neurons 1	KLF7
cortical neurons 1	ARHGAP21
cortical neurons 1	ATCAY
cortical neurons 1	FYN
cortical neurons 1	RNF24
cortical neurons 1	INA
cortical neurons 1	DUOX1
cortical neurons 1	NAV1
cortical neurons 1	KCNQ3
cortical neurons 1	RGS17
cortical neurons 1	SCD5
cortical neurons 1	AAK1
cortical neurons 1	NBEA
cortical neurons 1	COMMD3
cortical neurons 1	UBC
cortical neurons 1	RPS6KL1
cortical neurons 1	PPA1
cortical neurons 1	GNG2
cortical neurons 1	RUFY2
cortical neurons 1	CRIP2
cortical neurons 1	NSMF
cortical neurons 1	PCDH9
cortical neurons 1	GFOD1
cortical neurons 1	B3GAT1
cortical neurons 1	PLPPR2
cortical neurons 1	DPF1
cortical neurons 1	CAMK4
cortical neurons 1	USP11
cortical neurons 1	IGSF21
cortical neurons 1	CSRNP3
cortical neurons 1	ZEB2
cortical neurons 1	STMN1
cortical neurons 1	NRXN2
cortical neurons 1	FMNL2
cortical neurons 1	GRIN2B
cortical neurons 1	YWHAB
cortical neurons 1	MSRA
cortical neurons 1	PCLO
cortical neurons 1	DMTN
cortical neurons 1	RAB2A
cortical neurons 1	GABARAPL2
cortical neurons 1	ATL1
cortical neurons 1	PLPPR1
cortical neurons 1	KCNG1
cortical neurons 1	REEP1
cortical neurons 1	HSPA8
cortical neurons 1	EIF4A2
cortical neurons 1	KDM6B
cortical neurons 1	SFXN3
cortical neurons 1	PHYHIP
cortical neurons 1	ZC3H6
cortical neurons 1	TMOD2
cortical neurons 1	MARCKSL1
cortical neurons 1	CCSAP
cortical neurons 1	NCAN
cortical neurons 1	AMN1
cortical neurons 1	MAPRE3
cortical neurons 1	UNC5A
cortical neurons 1	AFF3
cortical neurons 1	GPR162
cortical neurons 1	PLXNA4
cortical neurons 1	SLC1A2
cortical neurons 1	PTMS
cortical neurons 1	KIF3C
cortical neurons 1	SNCB
cortical neurons 1	GPR12
cortical neurons 1	SCN3B
cortical neurons 1	AC004158.3
cortical neurons 1	DAB1
cortical neurons 1	SPIRE1
cortical neurons 1	WDR47
cortical neurons 1	GAREM1
cortical neurons 1	SLIT1
cortical neurons 1	C1orf216
cortical neurons 1	GRIA3
cortical neurons 1	NFIX
cortical neurons 1	PARP6
cortical neurons 1	RTN4RL2
cortical neurons 1	RP11-490M8.1
cortical neurons 1	TUBB4A
cortical neurons 1	RFPL1S
cortical neurons 1	EPHA5
cortical neurons 1	KIF21A
cortical neurons 1	DBN1
cortical neurons 1	TTLL7
cortical neurons 1	ZNF148
cortical neurons 1	ANK3
cortical neurons 1	PLPPR3
cortical neurons 1	GNG3
cortical neurons 1	PALM
cortical neurons 1	ZNRF1
cortical neurons 1	C14orf132
cortical neurons 1	ATRX
cortical neurons 1	TSC22D1
cortical neurons 1	PIK3R1
cortical neurons 1	SERINC1
cortical neurons 1	SARAF
cortical neurons 1	SRPK2
cortical neurons 1	FAM107B
cortical neurons 1	MXI1
cortical neurons 1	TMEM57
cortical neurons 1	ARID4A
cortical neurons 1	VPS26B
cortical neurons 1	ANKRD46
cortical neurons 1	TM2D3
cortical neurons 1	CLASP2
cortical neurons 1	SMARCA4
cortical neurons 1	OPTN
cortical neurons 1	SVBP
cortical neurons 1	MAGEH1
cortical neurons 1	MIAT
cortical neurons 1	ZNF91
cortical neurons 1	RSF1
cortical neurons 1	CCNG2
cortical neurons 1	TMEM106B
cortical neurons 1	ERC1
cortical neurons 1	IGSF3
cortical neurons 1	LMO3
cortical neurons 1	LBH
cortical neurons 1	GRB2
cortical neurons 1	NDUFA5
cortical neurons 1	NOVA2
cortical neurons 1	NDUFC2
cortical neurons 1	PRKAR2B
cortical neurons 1	NECAP1
cortical neurons 1	VPS28
cortical neurons 1	APBB1
cortical neurons 1	RP11-395G23.3
cortical neurons 1	C16orf45
cortical neurons 1	TCEAL1
cortical neurons 1	TMEM161B-AS1
cortical neurons 1	TCEAL4
cortical neurons 1	NR2F1
cortical neurons 1	PJA2
cortical neurons 1	AP1S1
cortical neurons 1	DCTN3
cortical neurons 1	DHPS
cortical neurons 1	XPR1
cortical neurons 1	RTF1
cortical neurons 1	SRGAP3
cortical neurons 1	PNMA1
cortical neurons 1	CXADR
cortical neurons 1	DYNLRB1
cortical neurons 1	RTN3
cortical neurons 1	C9orf16
cortical neurons 1	DAAM1
cortical neurons 1	CLIP1
cortical neurons 1	MAPK8
cortical neurons 1	PPP3CB
cortical neurons 1	MARCH6
cortical neurons 1	MEAF6
cortical neurons 1	SEC11C
cortical neurons 1	MTMR4
cortical neurons 1	ZNF821
cortical neurons 1	GSTM3
cortical neurons 1	CTTNBP2
cortical neurons 1	SLC25A4
cortical neurons 1	UQCRQ
cortical neurons 1	TCAF1
cortical neurons 1	FDFT1
cortical neurons 1	MGST3
cortical neurons 1	MAP4K4
cortical neurons 1	OCIAD2
cortical neurons 1	TMEM59
cortical neurons 1	PRMT2
cortical neurons 1	PPP3CA
cortical neurons 1	CERS6
cortical neurons 1	AK1
cortical neurons 1	PIK3R3
cortical neurons 1	GNB1
cortical neurons 1	NEFM
cortical neurons 1	DIXDC1
cortical neurons 1	BRI3
cortical neurons 1	IRF2BPL
cortical neurons 1	ATP6V0B
cortical neurons 1	SV2A
cortical neurons 1	LINC00685
cortical neurons 1	IGFBP2
cortical neurons 1	NUCB2
cortical neurons 1	STARD4-AS1
cortical neurons 1	DPYSL2
cortical neurons 1	DNER
cortical neurons 1	RPL36A
cortical neurons 1	PHF14
cortical neurons 1	PTPN4
cortical neurons 1	POLR1D
cortical neurons 1	DLGAP4
cortical neurons 1	CLTB
cortical neurons 1	TSPAN14
cortical neurons 1	MCTS1
cortical neurons 1	MEX3A
cortical neurons 1	TIPRL
cortical neurons 1	ACTR10
cortical neurons 1	SYT11
cortical neurons 1	PHF20
cortical neurons 1	ABRACL
cortical neurons 1	TANK
cortical neurons 1	CMPK1
cortical neurons 1	SAT2
cortical neurons 1	MSMO1
cortical neurons 1	KIF1B
cortical neurons 1	GSK3B
cortical neurons 1	PAPSS1
cortical neurons 1	FAM96B
cortical neurons 1	HMGCS1
cortical neurons 1	SPATS2
cortical neurons 1	TNRC6C
cortical neurons 1	ZNF292
cortical neurons 1	SQLE
cortical neurons 1	ASNS
cortical neurons 1	CCDC107
cortical neurons 1	MPC2
cortical neurons 1	SLC4A7
cortical neurons 1	SSBP2
cortical neurons 1	MIEN1
cortical neurons 1	SECISBP2
cortical neurons 1	ARPC5
cortical neurons 1	NRP2
cortical neurons 1	FAM3C
cortical neurons 1	ETFB
cortical neurons 1	MEF2C
cortical neurons 1	GABPB1-AS1
cortical neurons 1	MVD
cortical neurons 1	ANP32A
cortical neurons 1	IDI1
cortical neurons 1	SLF1
cortical neurons 1	ALDOC
cortical neurons 1	PTPRS
stem cells 1	RP11-148B6.1
stem cells 1	POU5F1
stem cells 1	TERF1
stem cells 1	UGP2
stem cells 1	L1TD1
stem cells 1	TDGF1
stem cells 1	LIN28A
stem cells 1	HMGA1
stem cells 1	USP44
stem cells 1	RARRES2
stem cells 1	PMAIP1
stem cells 1	MGST1
stem cells 1	MT1G
stem cells 1	DMKN
stem cells 1	YBX3
stem cells 1	PFN1
stem cells 1	PODXL
stem cells 1	PRELID1
stem cells 1	LINC00678
stem cells 1	RPS2
stem cells 1	DPPA4
stem cells 1	NR6A1
stem cells 1	RPL12
stem cells 1	MT-CO2
stem cells 1	NME4
stem cells 1	EIF4EBP1
stem cells 1	RANBP1
stem cells 1	TPM2
stem cells 1	SNRPN
stem cells 1	GAL
stem cells 1	FTL
stem cells 1	SRM
stem cells 1	CKS1B
stem cells 1	TPM1
stem cells 1	FOXD3-AS1
stem cells 1	CD24
stem cells 1	DNMT3B
stem cells 1	LECT1
stem cells 1	SLIRP
stem cells 1	KIAA0101
stem cells 1	PPP1R14B
stem cells 1	HMGN3
stem cells 1	GJA1
stem cells 1	HSPE1
stem cells 1	BCAT1
stem cells 1	SET
stem cells 1	H2AFZ
stem cells 1	MYL9
stem cells 1	RP11-1144P22.1
stem cells 1	POLR3G
stem cells 1	TIMM13
stem cells 1	MFGE8
stem cells 1	APRT
stem cells 1	NQO2
stem cells 1	DESI2
stem cells 1	SLC25A6
stem cells 1	MTHFD2
stem cells 1	PLA2G16
stem cells 1	AMD1
stem cells 1	SEPHS1
stem cells 1	RAB34
stem cells 1	LITAF
stem cells 1	MT-ND4
stem cells 1	SFRP1
stem cells 1	JADE1
stem cells 1	CYCS
stem cells 1	PKIB
stem cells 1	TNNT1
stem cells 1	RBPMS2
stem cells 1	PPP1CC
stem cells 1	SLC38A1
stem cells 1	NPM3
stem cells 1	EI24
stem cells 1	RPS6
stem cells 1	MAL2
stem cells 1	RRAS2
stem cells 1	HMGN1
stem cells 1	MT-CO3
stem cells 1	SIVA1
stem cells 1	CCNG1
stem cells 1	SLC16A1
stem cells 1	RPL8
stem cells 1	TMEM147
stem cells 1	JARID2
stem cells 1	SMS
stem cells 1	PHC1
stem cells 1	GLRX5
stem cells 1	EPCAM
stem cells 1	MT1E
stem cells 1	D21S2088E
stem cells 1	TRIM71
stem cells 1	MT-CO1
stem cells 1	RPL39L
stem cells 1	ADM
stem cells 1	SLC25A39
stem cells 1	CD9
stem cells 1	HELLS
stem cells 1	MRPS15
stem cells 1	MYL12A
stem cells 1	MT-ND6
stem cells 1	SUMO1
stem cells 1	ZIC2
stem cells 1	LYPLA1
stem cells 1	DDX21
stem cells 1	PSAT1
stem cells 1	LSM4
stem cells 1	CLDN6
stem cells 1	RPLP1
stem cells 1	RPL22L1
stem cells 1	C1QBP
stem cells 1	FGFR1
stem cells 1	ANP32E
stem cells 1	C20orf27
stem cells 1	RPS18
stem cells 1	APOC1
stem cells 1	APOE
stem cells 1	POMP
stem cells 1	LAPTM4B
stem cells 1	MT1X
stem cells 1	GPATCH4
stem cells 1	TGIF1
stem cells 1	EIF5A
stem cells 1	SSU72
stem cells 1	OSTC
stem cells 1	CCNC
stem cells 1	IMPA2
stem cells 1	IFITM2
stem cells 1	OAZ1
stem cells 1	SERF2
stem cells 1	PGP
stem cells 1	SLC39A10
stem cells 1	DIAPH2
stem cells 1	SS18L2
stem cells 1	MRPL11
stem cells 1	MRPL14
stem cells 1	AURKAIP1
stem cells 1	TRIAP1
stem cells 1	FRAT2
stem cells 1	BAX
stem cells 1	MT-CYB
stem cells 1	LSM5
stem cells 1	PABPC1
