cluster	gene
stem cells 2	CDCA7
stem cells 2	WWC2
stem cells 2	RRP1
stem cells 2	TMEM208
stem cells 2	PRPS1
stem cells 2	EXOSC1
stem cells 2	PBDC1
stem cells 2	YIF1A
stem cells 2	RAB25
stem cells 2	ALG3
stem cells 2	NUDT1
stem cells 2	NME3
stem cells 2	SLC50A1
stem cells 2	PIF1
stem cells 2	MT-ND4
stem cells 2	DNMT1
stem cells 2	DSP
stem cells 2	GPR143
stem cells 2	TMEM223
stem cells 2	LINC00545
stem cells 2	PABPC4
stem cells 2	LRRC59
stem cells 2	LIN28B
stem cells 2	NLGN4X
stem cells 2	PNPLA4
stem cells 2	TIMP1
stem cells 2	AKAP12
stem cells 2	AURKA
stem cells 2	KAT7
stem cells 2	TP53
stem cells 2	PTMA
stem cells 2	PIR
stem cells 2	CDCA4
stem cells 2	LYRM4
stem cells 2	PSMD1
stem cells 2	MRPL50
stem cells 2	NDUFAB1
stem cells 2	CISD2
stem cells 2	PA2G4
stem cells 2	SMS
stem cells 2	MAGOH
stem cells 2	AMD1
stem cells 2	SRM
stem cells 2	GNL3
stem cells 2	DUT
stem cells 2	MRPL41
stem cells 2	ADH5
stem cells 2	GSPT1
stem cells 2	CACYBP
stem cells 2	SUPT4H1
stem cells 2	NGFRAP1
stem cells 2	NAE1
stem cells 2	FKBP8
stem cells 2	EIF3M
stem cells 2	HNRNPA3
stem cells 2	FAAP20
stem cells 2	LSM3
stem cells 2	THRAP3
stem cells 2	SYNCRIP
stem cells 2	ATP5F1
stem cells 2	EIF4H
stem cells 2	PSMA1
stem cells 2	ACP1
stem cells 2	HMGN3
stem cells 2	G3BP1
stem cells 2	CCNG1
stem cells 2	KARS
stem cells 2	CNPY2
stem cells 2	VDAC1
stem cells 2	CCT7
stem cells 2	PGK1
stem cells 2	C14orf1
stem cells 2	ATP5D
stem cells 2	NUDC
stem cells 2	LARS
stem cells 2	NDUFB9
stem cells 2	ARL6IP4
stem cells 2	SSB
stem cells 2	MT-ATP6
stem cells 2	HNRNPU
stem cells 2	SDHC
stem cells 2	PSMD2
stem cells 2	TMEM14C
stem cells 2	PKM
stem cells 2	HSP90B1
stem cells 2	EIF2S3
midbrain/hindbrain	NEFL
midbrain/hindbrain	NEFM
midbrain/hindbrain	GAP43
midbrain/hindbrain	NNAT
midbrain/hindbrain	LHX9
midbrain/hindbrain	STMN2
midbrain/hindbrain	MAB21L1
midbrain/hindbrain	TAGLN3
midbrain/hindbrain	STMN4
midbrain/hindbrain	TUBA1A
midbrain/hindbrain	MLLT11
midbrain/hindbrain	GNG3
midbrain/hindbrain	NRN1
midbrain/hindbrain	PCSK1N
midbrain/hindbrain	APLP1
midbrain/hindbrain	TUBB2A
midbrain/hindbrain	NHLH2
midbrain/hindbrain	INA
midbrain/hindbrain	UCHL1
midbrain/hindbrain	PPP1R1A
midbrain/hindbrain	RTN1
midbrain/hindbrain	BASP1
midbrain/hindbrain	SCG2
midbrain/hindbrain	HMP19
midbrain/hindbrain	DNER
midbrain/hindbrain	TUBB2B
midbrain/hindbrain	ZIC1
midbrain/hindbrain	NSG1
midbrain/hindbrain	MAP1B
midbrain/hindbrain	NHLH1
midbrain/hindbrain	SCG5
midbrain/hindbrain	NOVA1
midbrain/hindbrain	MAPT
midbrain/hindbrain	STMN1
midbrain/hindbrain	KCNQ1OT1
midbrain/hindbrain	MAP6
midbrain/hindbrain	ELAVL2
midbrain/hindbrain	POU2F2
midbrain/hindbrain	TERF2IP
midbrain/hindbrain	KIF5C
midbrain/hindbrain	CRMP1
midbrain/hindbrain	RUNX1T1
midbrain/hindbrain	OLFM1
midbrain/hindbrain	FAM57B
midbrain/hindbrain	KLC1
midbrain/hindbrain	NLRP1
midbrain/hindbrain	TAC1
midbrain/hindbrain	MIAT
midbrain/hindbrain	ANK3
midbrain/hindbrain	ENO2
midbrain/hindbrain	ELAVL4
midbrain/hindbrain	CDKN2D
midbrain/hindbrain	GPC2
midbrain/hindbrain	C4orf48
midbrain/hindbrain	RAB3A
midbrain/hindbrain	PGM2L1
midbrain/hindbrain	ELAVL3
midbrain/hindbrain	TMSB10
midbrain/hindbrain	CALM2
midbrain/hindbrain	RBFOX2
midbrain/hindbrain	EBF1
midbrain/hindbrain	ZFHX3
midbrain/hindbrain	VAMP2
midbrain/hindbrain	CELF4
midbrain/hindbrain	POU3F2
midbrain/hindbrain	PBX3
midbrain/hindbrain	SEZ6L2
midbrain/hindbrain	ATP1A3
midbrain/hindbrain	NREP
midbrain/hindbrain	CCDC184
midbrain/hindbrain	PAK3
midbrain/hindbrain	APP
midbrain/hindbrain	YWHAH
midbrain/hindbrain	CXADR
midbrain/hindbrain	AC004540.4
midbrain/hindbrain	GDI1
midbrain/hindbrain	PLD3
midbrain/hindbrain	BEX1
midbrain/hindbrain	TMEM35
midbrain/hindbrain	CRIP2
midbrain/hindbrain	SLC17A6
midbrain/hindbrain	TSPAN7
midbrain/hindbrain	GPM6A
midbrain/hindbrain	GDAP1L1
midbrain/hindbrain	NCAM1
midbrain/hindbrain	SYT4
midbrain/hindbrain	DAAM1
midbrain/hindbrain	CDC42
midbrain/hindbrain	RUFY3
midbrain/hindbrain	ATAT1
midbrain/hindbrain	CCNI
midbrain/hindbrain	TUBB
midbrain/hindbrain	CD200
midbrain/hindbrain	LRRN3
midbrain/hindbrain	SARAF
midbrain/hindbrain	FXYD7
midbrain/hindbrain	CPE
midbrain/hindbrain	STMN3
midbrain/hindbrain	PCSK2
midbrain/hindbrain	GSTA4
midbrain/hindbrain	ZC2HC1A
midbrain/hindbrain	SOBP
midbrain/hindbrain	GABARAPL2
midbrain/hindbrain	UBC
midbrain/hindbrain	YWHAQ
midbrain/hindbrain	CHST1
midbrain/hindbrain	INAFM1
midbrain/hindbrain	CXXC4
midbrain/hindbrain	TMSB15A
midbrain/hindbrain	DCTN2
midbrain/hindbrain	PTMS
midbrain/hindbrain	CADM3
midbrain/hindbrain	HN1
midbrain/hindbrain	MARCKS
midbrain/hindbrain	RUNDC3B
midbrain/hindbrain	CELF3
midbrain/hindbrain	RTN4
midbrain/hindbrain	MALAT1
midbrain/hindbrain	RTN3
midbrain/hindbrain	CD24
midbrain/hindbrain	SRRM3
midbrain/hindbrain	TMEFF2
midbrain/hindbrain	RUNDC3A
midbrain/hindbrain	EIF4A2
midbrain/hindbrain	CHGB
midbrain/hindbrain	MARCKSL1
midbrain/hindbrain	DCX
midbrain/hindbrain	SMIM18
midbrain/hindbrain	ZCCHC12
midbrain/hindbrain	EIF1B
midbrain/hindbrain	MEAF6
midbrain/hindbrain	SYT5
midbrain/hindbrain	MAPRE3
midbrain/hindbrain	ACOT7
midbrain/hindbrain	TTC9B
midbrain/hindbrain	GABARAPL1
midbrain/hindbrain	DDAH2
midbrain/hindbrain	PCBP4
midbrain/hindbrain	SCN3B
midbrain/hindbrain	GNG2
midbrain/hindbrain	ATP1B1
midbrain/hindbrain	CALM3
midbrain/hindbrain	DNAJC12
midbrain/hindbrain	CSRNP3
midbrain/hindbrain	ATP6V1G2
midbrain/hindbrain	SVBP
midbrain/hindbrain	SCD5
midbrain/hindbrain	SCG3
midbrain/hindbrain	EIF1
midbrain/hindbrain	LEMD1
midbrain/hindbrain	SCOC
midbrain/hindbrain	CALM1
midbrain/hindbrain	SYT1
midbrain/hindbrain	C10orf35
midbrain/hindbrain	DCC
midbrain/hindbrain	SERPINI1
midbrain/hindbrain	CALY
midbrain/hindbrain	CADM2
midbrain/hindbrain	COX7A2
midbrain/hindbrain	ACTG1
midbrain/hindbrain	TMEM14A
midbrain/hindbrain	THSD7A
midbrain/hindbrain	RGMB
midbrain/hindbrain	DMTN
midbrain/hindbrain	UBE2E3
midbrain/hindbrain	COX6A1
midbrain/hindbrain	INSM1
midbrain/hindbrain	GADD45A
midbrain/hindbrain	AP1S2
midbrain/hindbrain	ATP6V0B
midbrain/hindbrain	DUSP1
midbrain/hindbrain	SYP
midbrain/hindbrain	PLPPR1
midbrain/hindbrain	AKAP6
midbrain/hindbrain	RGS17
midbrain/hindbrain	RAB2A
midbrain/hindbrain	TTC3
midbrain/hindbrain	RAB6A
midbrain/hindbrain	LY6H
midbrain/hindbrain	BEX4
midbrain/hindbrain	OPTN
midbrain/hindbrain	TMEM59L
midbrain/hindbrain	NR2F1
midbrain/hindbrain	CDKN1C
midbrain/hindbrain	SNAP25
midbrain/hindbrain	KIF5A
midbrain/hindbrain	KLF7
midbrain/hindbrain	NDFIP1
midbrain/hindbrain	ARL6IP5
midbrain/hindbrain	L1CAM
midbrain/hindbrain	SEPT6
midbrain/hindbrain	PKIA
midbrain/hindbrain	PCMT1
midbrain/hindbrain	AKR1C1
midbrain/hindbrain	PODXL2
midbrain/hindbrain	NFASC
midbrain/hindbrain	SRGAP3
midbrain/hindbrain	MAP1LC3B
midbrain/hindbrain	MORF4L2
midbrain/hindbrain	PPFIA2
midbrain/hindbrain	ACTL6B
midbrain/hindbrain	WRB
midbrain/hindbrain	DYNC1I2
midbrain/hindbrain	TRIM36
midbrain/hindbrain	CAMK2B
midbrain/hindbrain	PLPPR3
midbrain/hindbrain	H3F3B
midbrain/hindbrain	NDN
midbrain/hindbrain	HERPUD1
midbrain/hindbrain	SLC22A17
midbrain/hindbrain	KIF3A
midbrain/hindbrain	EIF4G2
midbrain/hindbrain	CIRBP
midbrain/hindbrain	JUN
midbrain/hindbrain	RAB1A
midbrain/hindbrain	PPP2R5B
midbrain/hindbrain	CNRIP1
midbrain/hindbrain	RAB3C
midbrain/hindbrain	MORF4L1
midbrain/hindbrain	SOX11
midbrain/hindbrain	CITED2
midbrain/hindbrain	HIST2H2BE
midbrain/hindbrain	TSC22D1
midbrain/hindbrain	GRIA2
midbrain/hindbrain	NTM
midbrain/hindbrain	LRRC4C
midbrain/hindbrain	WHSC1L1
midbrain/hindbrain	SEC62
midbrain/hindbrain	DPYSL4
midbrain/hindbrain	KMT2E
midbrain/hindbrain	BAALC
midbrain/hindbrain	KIFAP3
midbrain/hindbrain	TCEAL7
midbrain/hindbrain	TSPAN13
midbrain/hindbrain	DYNLRB1
midbrain/hindbrain	DCTN3
midbrain/hindbrain	HSBP1
midbrain/hindbrain	FNBP1L
midbrain/hindbrain	TUBB4A
midbrain/hindbrain	HIP1R
midbrain/hindbrain	C1QTNF4
midbrain/hindbrain	YWHAG
midbrain/hindbrain	USP11
midbrain/hindbrain	PAK7
midbrain/hindbrain	ATL1
midbrain/hindbrain	ATP6AP2
midbrain/hindbrain	ZNF667-AS1
midbrain/hindbrain	CLTB
midbrain/hindbrain	STXBP1
midbrain/hindbrain	CAMK2N1
midbrain/hindbrain	ACTR10
midbrain/hindbrain	SH3BP5
midbrain/hindbrain	PGRMC1
midbrain/hindbrain	PAFAH1B3
midbrain/hindbrain	MIR124-2HG
midbrain/hindbrain	ARID4A
midbrain/hindbrain	RAB11B
midbrain/hindbrain	HES6
midbrain/hindbrain	HMGCS1
midbrain/hindbrain	CNIH2
midbrain/hindbrain	ATP5E
midbrain/hindbrain	DTD1
midbrain/hindbrain	WLS
midbrain/hindbrain	NRXN1
midbrain/hindbrain	NAP1L5
midbrain/hindbrain	HPCAL1
midbrain/hindbrain	DPYSL2
midbrain/hindbrain	DUSP26
midbrain/hindbrain	NAP1L3
midbrain/hindbrain	SNCA
midbrain/hindbrain	CXXC5
midbrain/hindbrain	TMEM132A
midbrain/hindbrain	MAP3K13
midbrain/hindbrain	DDX24
midbrain/hindbrain	PRAF2
midbrain/hindbrain	AK1
midbrain/hindbrain	COTL1
midbrain/hindbrain	DPYSL3
midbrain/hindbrain	PALM
midbrain/hindbrain	AKAP9
midbrain/hindbrain	PHF14
midbrain/hindbrain	CHGA
midbrain/hindbrain	ZNF428
midbrain/hindbrain	ATP6V0E2
midbrain/hindbrain	ARPC5
midbrain/hindbrain	REEP1
midbrain/hindbrain	MAP2
midbrain/hindbrain	PPDPF
midbrain/hindbrain	MSMO1
midbrain/hindbrain	YAF2
midbrain/hindbrain	FSCN1
midbrain/hindbrain	ATP2B1
midbrain/hindbrain	CACNB3
midbrain/hindbrain	TSHZ2
midbrain/hindbrain	MAP1LC3A
midbrain/hindbrain	PRRT2
midbrain/hindbrain	RIC3
midbrain/hindbrain	PPP1R15A
midbrain/hindbrain	ANKRD46
midbrain/hindbrain	DYNC1H1
midbrain/hindbrain	CELF5
midbrain/hindbrain	PHYHIPL
midbrain/hindbrain	MAPK10
midbrain/hindbrain	VPS28
midbrain/hindbrain	ELOVL4
midbrain/hindbrain	KIDINS220
midbrain/hindbrain	RHBDD2
midbrain/hindbrain	IDI1
midbrain/hindbrain	BLCAP
midbrain/hindbrain	LINC01420
midbrain/hindbrain	CMIP
midbrain/hindbrain	FXYD6
midbrain/hindbrain	PRKAR2B
midbrain/hindbrain	ANK2
midbrain/hindbrain	NECAP1
midbrain/hindbrain	PNMA1
midbrain/hindbrain	NBEA
midbrain/hindbrain	ARMCX3
midbrain/hindbrain	ACAP3
midbrain/hindbrain	PLPPR2
midbrain/hindbrain	RAB7A
midbrain/hindbrain	PCDH9
midbrain/hindbrain	NOVA2
midbrain/hindbrain	TMEM246
midbrain/hindbrain	PPP1R18
midbrain/hindbrain	DUOX1
midbrain/hindbrain	KLF6
midbrain/hindbrain	APBB1
midbrain/hindbrain	MAP4
midbrain/hindbrain	KIF21A
midbrain/hindbrain	PLK2
midbrain/hindbrain	GPR162
midbrain/hindbrain	YPEL5
midbrain/hindbrain	LBH
midbrain/hindbrain	GSK3B
midbrain/hindbrain	ARL8A
midbrain/hindbrain	CCDC112
midbrain/hindbrain	SERINC1
midbrain/hindbrain	ATP6V1H
midbrain/hindbrain	ARL4A
midbrain/hindbrain	GDAP1
midbrain/hindbrain	TCF7L2
midbrain/hindbrain	MAPK8IP1
midbrain/hindbrain	WASF1
midbrain/hindbrain	LPCAT4
midbrain/hindbrain	KIF1A
midbrain/hindbrain	AASDHPPT
midbrain/hindbrain	RGS2
midbrain/hindbrain	ATP6AP1
midbrain/hindbrain	NDUFA5
midbrain/hindbrain	IGLON5
midbrain/hindbrain	UBA1
midbrain/hindbrain	BZW2
midbrain/hindbrain	TUSC3
midbrain/hindbrain	RSBN1
midbrain/hindbrain	SMARCA4
midbrain/hindbrain	TBCB
midbrain/hindbrain	ENC1
midbrain/hindbrain	FIGN
midbrain/hindbrain	DPYSL5
midbrain/hindbrain	NDUFB8
midbrain/hindbrain	TCF25
midbrain/hindbrain	NELL2
midbrain/hindbrain	NR2F1-AS1
midbrain/hindbrain	DYNC1LI1
midbrain/hindbrain	TRAPPC1
midbrain/hindbrain	MKRN1
midbrain/hindbrain	ACTR1A
midbrain/hindbrain	GNB2
midbrain/hindbrain	APBA2
midbrain/hindbrain	CCDC90B
midbrain/hindbrain	NCALD
midbrain/hindbrain	TAOK3
midbrain/hindbrain	MYL6
midbrain/hindbrain	RHOB
midbrain/hindbrain	STARD3NL
midbrain/hindbrain	NPDC1
midbrain/hindbrain	TCAF1
midbrain/hindbrain	PRDX5
midbrain/hindbrain	NAV2
midbrain/hindbrain	EVL
midbrain/hindbrain	RNF24
midbrain/hindbrain	H2AFY2
midbrain/hindbrain	CRNDE
midbrain/hindbrain	MAGEF1
midbrain/hindbrain	IP6K2
midbrain/hindbrain	ATP6V0D1
midbrain/hindbrain	STX12
midbrain/hindbrain	UBE2E2
midbrain/hindbrain	BEX2
midbrain/hindbrain	ING4
midbrain/hindbrain	C16orf45
midbrain/hindbrain	MAP1A
midbrain/hindbrain	FDFT1
midbrain/hindbrain	ZFHX4
midbrain/hindbrain	FAM177A1
midbrain/hindbrain	MAGED1
midbrain/hindbrain	CNTFR
midbrain/hindbrain	ADGRG1
midbrain/hindbrain	PPM1K
midbrain/hindbrain	CCDC167
midbrain/hindbrain	MAP7D1
midbrain/hindbrain	BIN1
midbrain/hindbrain	ODF2L
midbrain/hindbrain	AMN1
midbrain/hindbrain	ACYP1
midbrain/hindbrain	PEG10
midbrain/hindbrain	C12orf76
midbrain/hindbrain	C12orf73
midbrain/hindbrain	SLC25A4
midbrain/hindbrain	GADD45G
midbrain/hindbrain	FAM127A
midbrain/hindbrain	SRSF8
midbrain/hindbrain	MVD
midbrain/hindbrain	LMBR1L
midbrain/hindbrain	DNAJB9
midbrain/hindbrain	FDPS
midbrain/hindbrain	FAM229B
midbrain/hindbrain	NKAIN4
midbrain/hindbrain	ATP6V1B2
midbrain/hindbrain	ETFB
midbrain/hindbrain	FHL1
midbrain/hindbrain	DUSP4
midbrain/hindbrain	IGSF21
midbrain/hindbrain	AP1S1
midbrain/hindbrain	CHN1
midbrain/hindbrain	RAC3
midbrain/hindbrain	UBE2D1
midbrain/hindbrain	BBC3
midbrain/hindbrain	CMAS
midbrain/hindbrain	CLK1
midbrain/hindbrain	IFRD1
midbrain/hindbrain	NR2F2
midbrain/hindbrain	TSC22D3
midbrain/hindbrain	SMARCC2
midbrain/hindbrain	VAT1
midbrain/hindbrain	LSAMP
midbrain/hindbrain	ATXN7L3B
midbrain/hindbrain	PBX1
midbrain/hindbrain	SPATS2
midbrain/hindbrain	FYN
midbrain/hindbrain	DZIP3
midbrain/hindbrain	CRABP1
midbrain/hindbrain	EPB41
midbrain/hindbrain	ID4
midbrain/hindbrain	RGS16
midbrain/hindbrain	CASP3
ventral progenitors and neurons 3	DLX6-AS1
ventral progenitors and neurons 3	DLX5
ventral progenitors and neurons 3	PLS3
ventral progenitors and neurons 3	DLX2
ventral progenitors and neurons 3	CXCR4
ventral progenitors and neurons 3	DCX
ventral progenitors and neurons 3	SCGN
ventral progenitors and neurons 3	CALB2
ventral progenitors and neurons 3	ERBB4
ventral progenitors and neurons 3	TCF4
ventral progenitors and neurons 3	SOX4
ventral progenitors and neurons 3	SP9
ventral progenitors and neurons 3	BTG1
ventral progenitors and neurons 3	CCDC88A
ventral progenitors and neurons 3	DLX1
ventral progenitors and neurons 3	PDE4DIP
ventral progenitors and neurons 3	SHTN1
ventral progenitors and neurons 3	GAD1
ventral progenitors and neurons 3	GAD2
ventral progenitors and neurons 3	SYNPR
ventral progenitors and neurons 3	STMN2
ventral progenitors and neurons 3	RTN1
ventral progenitors and neurons 3	TMEM123
ventral progenitors and neurons 3	MTSS1
ventral progenitors and neurons 3	MLLT11
ventral progenitors and neurons 3	TMEM161B-AS1
ventral progenitors and neurons 3	PDZRN3
ventral progenitors and neurons 3	SLC32A1
ventral progenitors and neurons 3	SYT1
ventral progenitors and neurons 3	RND3
ventral progenitors and neurons 3	ARX
ventral progenitors and neurons 3	ZEB2
ventral progenitors and neurons 3	PRKX
ventral progenitors and neurons 3	SOX11
ventral progenitors and neurons 3	SP8
ventral progenitors and neurons 3	CAMK2N1
ventral progenitors and neurons 3	FAM65B
ventral progenitors and neurons 3	CELF4
ventral progenitors and neurons 3	SLAIN1
ventral progenitors and neurons 3	TUBB2A
ventral progenitors and neurons 3	MYCBP2
ventral progenitors and neurons 3	PFN2
ventral progenitors and neurons 3	SCG3
ventral progenitors and neurons 3	PDZRN4
ventral progenitors and neurons 3	DCLK2
ventral progenitors and neurons 3	INA
ventral progenitors and neurons 3	VSTM2A
ventral progenitors and neurons 3	MEF2C
ventral progenitors and neurons 3	CLASP1
ventral progenitors and neurons 3	NFIB
ventral progenitors and neurons 3	TMSB10
ventral progenitors and neurons 3	AKAP9
ventral progenitors and neurons 3	ZNF428
ventral progenitors and neurons 3	ANKRD12
ventral progenitors and neurons 3	APC
ventral progenitors and neurons 3	GDAP1L1
ventral progenitors and neurons 3	MAP2
ventral progenitors and neurons 3	FNBP1L
ventral progenitors and neurons 3	ELAVL4
ventral progenitors and neurons 3	CEP170
ventral progenitors and neurons 3	CCNI
ventral progenitors and neurons 3	TAGLN3
ventral progenitors and neurons 3	EIF4G2
ventral progenitors and neurons 3	TERF2IP
ventral progenitors and neurons 3	KLHL35
ventral progenitors and neurons 3	MAPT
ventral progenitors and neurons 3	DYNC1I2
ventral progenitors and neurons 3	TUBB2B
ventral progenitors and neurons 3	C1orf61
ventral progenitors and neurons 3	PAK3
ventral progenitors and neurons 3	C11orf96
ventral progenitors and neurons 3	CRMP1
ventral progenitors and neurons 3	TTC3
ventral progenitors and neurons 3	STMN1
ventral progenitors and neurons 3	FXYD6
ventral progenitors and neurons 3	ELAVL3
ventral progenitors and neurons 3	EPHA5
ventral progenitors and neurons 3	IFI44
ventral progenitors and neurons 3	ST8SIA5
ventral progenitors and neurons 3	BEX1
ventral progenitors and neurons 3	DDX5
ventral progenitors and neurons 3	HMP19
ventral progenitors and neurons 3	MARCKSL1
ventral progenitors and neurons 3	FEZ1
ventral progenitors and neurons 3	VAMP2
ventral progenitors and neurons 3	NRXN3
ventral progenitors and neurons 3	GPM6A
ventral progenitors and neurons 3	DLX6
ventral progenitors and neurons 3	ATP5E
ventral progenitors and neurons 3	PCSK1N
ventral progenitors and neurons 3	TUBA1A
ventral progenitors and neurons 3	HN1
ventral progenitors and neurons 3	RPL38
ventral progenitors and neurons 3	MAP1B
ventral progenitors and neurons 3	H3F3B
ventral progenitors and neurons 3	NRXN1
ventral progenitors and neurons 3	ATAT1
ventral progenitors and neurons 3	MALAT1
ventral progenitors and neurons 3	RTN4
ventral progenitors and neurons 3	ZNF704
ventral progenitors and neurons 3	CCSER1
ventral progenitors and neurons 3	RUFY2
ventral progenitors and neurons 3	PNRC1
ventral progenitors and neurons 3	RBFOX2
ventral progenitors and neurons 3	GAS2L3
ventral progenitors and neurons 3	KMT2E
ventral progenitors and neurons 3	ARL4C
ventral progenitors and neurons 3	PAFAH1B3
ventral progenitors and neurons 3	ZC2HC1A
ventral progenitors and neurons 3	COX7A2
ventral progenitors and neurons 3	CHD9
ventral progenitors and neurons 3	PRKCA
ventral progenitors and neurons 3	ATP1B1
ventral progenitors and neurons 3	KIDINS220
ventral progenitors and neurons 3	PLK2
ventral progenitors and neurons 3	CFL1
ventral progenitors and neurons 3	CITED2
ventral progenitors and neurons 3	DYNC1I1
ventral progenitors and neurons 3	PTMS
ventral progenitors and neurons 3	CHCHD2
ventral progenitors and neurons 3	KIF2A
ventral progenitors and neurons 3	KLC1
ventral progenitors and neurons 3	AKR1C1
ventral progenitors and neurons 3	ATRX
ventral progenitors and neurons 3	ANKS1B
ventral progenitors and neurons 3	DCTN3
ventral progenitors and neurons 3	SOX6
ventral progenitors and neurons 3	WHSC1L1
ventral progenitors and neurons 3	RAB2A
ventral progenitors and neurons 3	YWHAQ
ventral progenitors and neurons 3	TTC9B
ventral progenitors and neurons 3	SRRM4
ventral progenitors and neurons 3	AES
ventral progenitors and neurons 3	ACTL6B
ventral progenitors and neurons 3	TXN
ventral progenitors and neurons 3	SEC62
ventral progenitors and neurons 3	EIF4A2
ventral progenitors and neurons 3	CBX3
ventral progenitors and neurons 3	FGF9
ventral progenitors and neurons 3	ACTB
ventral progenitors and neurons 3	POU3F4
ventral progenitors and neurons 3	RAB3A
ventral progenitors and neurons 3	NCAM1
ventral progenitors and neurons 3	RPAIN
ventral progenitors and neurons 3	CCDC112
ventral progenitors and neurons 3	LINC00461
ventral progenitors and neurons 3	KIAA2026
ventral progenitors and neurons 3	FAM110B
ventral progenitors and neurons 3	TRIM36
ventral progenitors and neurons 3	PCDH9
ventral progenitors and neurons 3	AP1S2
ventral progenitors and neurons 3	ASCL1
ventral progenitors and neurons 3	CSNK1E
ventral progenitors and neurons 3	EVL
ventral progenitors and neurons 3	DPYSL3
ventral progenitors and neurons 3	RERE
ventral progenitors and neurons 3	DNAJB6
ventral progenitors and neurons 3	TSC22D3
ventral progenitors and neurons 3	STMN4
ventral progenitors and neurons 3	DAAM1
ventral progenitors and neurons 3	ARID4B
ventral progenitors and neurons 3	TMSB4X
ventral progenitors and neurons 3	GSTA4
ventral progenitors and neurons 3	LRCH2
ventral progenitors and neurons 3	C19orf43
ventral progenitors and neurons 3	NSG1
ventral progenitors and neurons 3	KIF3A
ventral progenitors and neurons 3	AC004158.3
ventral progenitors and neurons 3	SH3BP5
ventral progenitors and neurons 3	SEPT7
ventral progenitors and neurons 3	PRMT2
ventral progenitors and neurons 3	NAP1L3
ventral progenitors and neurons 3	FOXG1
ventral progenitors and neurons 3	EPC1
ventral progenitors and neurons 3	ARID4A
ventral progenitors and neurons 3	DST
ventral progenitors and neurons 3	USMG5
ventral progenitors and neurons 3	JAKMIP2
ventral progenitors and neurons 3	HNRNPDL
ventral progenitors and neurons 3	GNG2
ventral progenitors and neurons 3	RSF1
ventral progenitors and neurons 3	CDH2
ventral progenitors and neurons 3	TSC22D1
ventral progenitors and neurons 3	UBC
ventral progenitors and neurons 3	ACTG1
ventral progenitors and neurons 3	USP11
ventral progenitors and neurons 3	PFDN2
ventral progenitors and neurons 3	TOMM7
ventral progenitors and neurons 3	KLF7
ventral progenitors and neurons 3	MIR124-2HG
ventral progenitors and neurons 3	ANKRD36C
ventral progenitors and neurons 3	PAK2
ventral progenitors and neurons 3	DNAJA1
ventral progenitors and neurons 3	NREP
ventral progenitors and neurons 3	MIR181A1HG
ventral progenitors and neurons 3	BCL11B
ventral progenitors and neurons 3	GABARAPL2
ventral progenitors and neurons 3	GDI1
ventral progenitors and neurons 3	HP1BP3
ventral progenitors and neurons 3	FAM215B
ventral progenitors and neurons 3	KIF21A
ventral progenitors and neurons 3	TAF7
ventral progenitors and neurons 3	GADD45G
ventral progenitors and neurons 3	DCLK1
ventral progenitors and neurons 3	C4orf48
ventral progenitors and neurons 3	SEC11C
ventral progenitors and neurons 3	TBCC
ventral progenitors and neurons 3	ARHGEF2
ventral progenitors and neurons 3	RNF24
ventral progenitors and neurons 3	TCEAL4
ventral progenitors and neurons 3	RTF1
ventral progenitors and neurons 3	RUFY3
ventral progenitors and neurons 3	DDX24
ventral progenitors and neurons 3	THRA
ventral progenitors and neurons 3	PHF14
ventral progenitors and neurons 3	PAK7
ventral progenitors and neurons 3	MYT1L
ventral progenitors and neurons 3	MLLT4
ventral progenitors and neurons 3	MAPK10
ventral progenitors and neurons 3	KALRN
ventral progenitors and neurons 3	KIFAP3
ventral progenitors and neurons 3	KHDRBS1
ventral progenitors and neurons 3	SNAP25
ventral progenitors and neurons 3	PTOV1
ventral progenitors and neurons 3	LBH
ventral progenitors and neurons 3	SYP
ventral progenitors and neurons 3	ZNF292
ventral progenitors and neurons 3	FSCN1
ventral progenitors and neurons 3	SEC61G
ventral progenitors and neurons 3	IP6K2
ventral progenitors and neurons 3	MAGEH1
ventral progenitors and neurons 3	CSRNP3
ventral progenitors and neurons 3	TRIM16
ventral progenitors and neurons 3	SEZ6L2
ventral progenitors and neurons 3	TOP2B
ventral progenitors and neurons 3	PJA1
ventral progenitors and neurons 3	CCNG2
ventral progenitors and neurons 3	DDAH2
ventral progenitors and neurons 3	RAB11B
ventral progenitors and neurons 3	GRIA1
ventral progenitors and neurons 3	RGS12
ventral progenitors and neurons 3	TMEM57
ventral progenitors and neurons 3	TBCB
ventral progenitors and neurons 3	ZNF91
ventral progenitors and neurons 3	SFPQ
ventral progenitors and neurons 3	NDUFA5
ventral progenitors and neurons 3	LINC00632
ventral progenitors and neurons 3	SON
ventral progenitors and neurons 3	SNRPB2
ventral progenitors and neurons 3	RBM39
ventral progenitors and neurons 3	TMEM35
ventral progenitors and neurons 3	ATCAY
ventral progenitors and neurons 3	CHMP5
ventral progenitors and neurons 3	ZNF148
ventral progenitors and neurons 3	RAB3IP
ventral progenitors and neurons 3	EEA1
ventral progenitors and neurons 3	ARL4D
ventral progenitors and neurons 3	MEX3A
ventral progenitors and neurons 3	DYNLRB1
ventral progenitors and neurons 3	NLRP1
ventral progenitors and neurons 3	SERINC1
ventral progenitors and neurons 3	MTUS1
ventral progenitors and neurons 3	NEDD4L
ventral progenitors and neurons 3	DPYSL4
